#time	distance
0 30
2 39.652
4 50.724
6 62.788
8 75.546
10 88.718
12 102.22
14 115.75
16 129.07
18 142.13
20 154.88
22 167.24
24 179.24
26 190.85
28 202.02
30 212.78
32 223.19
34 233.26
36 242.98
38 252.33
40 261.36
42 270.11
44 278.59
46 286.8
48 294.75
50 302.47
52 309.96
54 317.25
56 324.33
58 331.21
60 337.91
62 344.44
64 350
