   #time	x0	y0	x1	y1
     188	          0.0004	      0.00087567	          0.0004	      0.00072433
     190	          0.0004	      0.00086879	          0.0004	      0.00073121
     192	          0.0004	      0.00086209	          0.0004	      0.00073791
     194	          0.0004	      0.00085556	          0.0004	      0.00074444
     196	          0.0004	         0.00085	          0.0004	         0.00075
     198	        0.000415	       0.0007925	       0.0004315	      0.00078875
     200	     0.000419826	     0.000790087	     0.000441635	     0.000785131
     202	     0.000425362	     0.000787319	      0.00045326	     0.000780979
     204	     0.000431394	     0.000784303	     0.000465927	     0.000776455
     206	     0.000437773	     0.000781114	     0.000479323	      0.00077167
     208	     0.000444359	      0.00077782	     0.000493154	     0.000766731
     210	      0.00045111	     0.000774445	     0.000507331	     0.000761668
     212	     0.000457875	     0.000771063	     0.000521538	     0.000756594
     214	     0.000464535	     0.000767732	     0.000535523	     0.000751599
     216	     0.000471065	     0.000764468	     0.000549236	     0.000746701
     218	      0.00047744	      0.00076128	     0.000562624	      0.00074192
     220	      0.00048362	      0.00075819	     0.000575602	     0.000737285
     222	      0.00048962	      0.00075519	     0.000588202	     0.000732785
     224	     0.000495425	     0.000752287	     0.000600393	     0.000728431
     226	      0.00050101	     0.000749495	     0.000612121	     0.000724243
     228	      0.00050639	     0.000746805	     0.000623419	     0.000720208
     230	     0.000511595	     0.000744202	     0.000634349	     0.000716304
     232	     0.000555797	     0.000722101	     0.000644923	     0.000712527
     234	          0.0006	          0.0007	     0.000655129	     0.000708883
     236	          0.0006	          0.0007	     0.000664946	     0.000705376
     238	          0.0006	          0.0007	     0.000674428	      0.00070199
     240	          0.0006	          0.0007	     0.000683616	     0.000698709
     242	          0.0006	          0.0007	     0.000692519	     0.000695529
     244	          0.0006	          0.0007	      0.00070114	      0.00069245
     246	          0.0006	          0.0007	     0.000709487	     0.000689469
     248	          0.0006	          0.0007	     0.000717593	     0.000686574
     250	          0.0006	          0.0007	     0.000725458	     0.000683765
     252	          0.0006	          0.0007	     0.000733112	     0.000681031
     254	          0.0006	          0.0007	     0.000740546	     0.000678376
     256	          0.0006	          0.0007	      0.00074777	     0.000675796
     258	          0.0006	          0.0007	     0.000754806	     0.000673284
     260	          0.0006	          0.0007	     0.000761662	     0.000670835
     262	          0.0006	          0.0007	         0.00082	         0.00065
     262	          0.0006	          0.0007	         0.00082	         0.00065
